player_name,surface,total_partidas,percentual_vitorias,media_ace_pct,media_df_pct
Andrei Pavel,Clay,182,0.521978021978022,0.04052305062439917,0.019597661404464888
Andrei Pavel,Grass,47,0.44680851063829785,0.07383236485347891,0.03862348370163727
Andrei Pavel,Hard,215,0.5069767441860465,0.07661902210574993,0.029973132611100146
Andrei Stoliarov,Clay,23,0.34782608695652173,0.045589625045892035,0.05323015283796106
Andrei Stoliarov,Hard,45,0.4222222222222222,0.07066959223098972,0.048012999408423615
Andrej Martin,Clay,48,0.4583333333333333,0.026679651303389743,0.03167458856727303
Andres Gomez,Clay,37,0.43243243243243246,0.06273732246462056,0.04503332728454617
Andres Gomez,Hard,25,0.4,0.08918389173332301,0.033562968932321954
Andrew Ilie,Clay,75,0.5466666666666666,0.051992096651060075,0.04172644808678131
Andrew Ilie,Hard,102,0.4019607843137255,0.059742017916291544,0.039028900411501186
Andrew Sznajder,Hard,25,0.2,0.05357985833506923,0.05188925631305762
Andrey Golubev,Clay,52,0.3269230769230769,0.04593226521956957,0.04096972592784879
Andrey Golubev,Hard,98,0.336734693877551,0.06178838933033698,0.041524281691488765
Andrey Kuznetsov,Clay,69,0.43478260869565216,0.048279734121240134,0.0331027827367413
Andrey Kuznetsov,Grass,20,0.35,0.09735983040963618,0.03166259854768928
Andrey Kuznetsov,Hard,85,0.43529411764705883,0.07125995392824933,0.042687817869432335
Andrey Rublev,Clay,118,0.6610169491525424,0.06451124333107959,0.026420841435739865
Andrey Rublev,Grass,29,0.6551724137931034,0.096636599124854,0.02098984941303012
Andrey Rublev,Hard,363,0.6446280991735537,0.1036404584873975,0.03516804513967254
Andy Murray,Clay,150,0.6666666666666666,0.06233651373824616,0.02584604522146863
Andy Murray,Grass,142,0.7887323943661971,0.1110228928486209,0.02524643151704147
Andy Murray,Hard,667,0.7361319340329835,0.08916012222024944,0.03557913463866957
Andy Roddick,Carpet,33,0.696969696969697,0.20450713158130998,0.024381766750121645
Andy Roddick,Clay,100,0.67,0.10216961832484323,0.030920054755722844
Andy Roddick,Grass,103,0.7961165048543689,0.16580105162206143,0.024478202614512327
Andy Roddick,Hard,537,0.7523277467411545,0.1650305986323403,0.02670200045825681
Antony Dupuis,Clay,58,0.3448275862068966,0.07228851249749234,0.0361853259051184
Antony Dupuis,Grass,41,0.4634146341463415,0.09073781555347077,0.029023109756396544
Antony Dupuis,Hard,98,0.40816326530612246,0.1016765424001278,0.037651014011903315
Arnaud Boetsch,Carpet,114,0.5964912280701754,0.07170476324449344,0.037897217821561066
Arnaud Boetsch,Clay,94,0.4574468085106383,0.03538145731293817,0.04030673391828925
Arnaud Boetsch,Grass,33,0.5454545454545454,0.05637065808390144,0.06567992772654684
Arnaud Boetsch,Hard,141,0.5460992907801419,0.05654630302004257,0.0419515065494751
Arnaud Clement,Carpet,76,0.5,0.07064255412565137,0.0328391086491854
Arnaud Clement,Clay,110,0.39090909090909093,0.0467377321039596,0.03729687586411356
Arnaud Clement,Grass,92,0.532608695652174,0.06545756657332824,0.034102022271545664
Arnaud Clement,Hard,336,0.5029761904761905,0.07028282104730663,0.035836984811370966
Arnaud Di Pasquale,Clay,98,0.46938775510204084,0.028134354417346595,0.04193869483816831
Arnaud Di Pasquale,Hard,49,0.2653061224489796,0.034898619296192215,0.063074118002946
Arne Thoms,Grass,22,0.5,0.07090044822330697,0.09627292818406237
Arthur Cazaux,Hard,20,0.45,0.12645634401609146,0.024068198605723224
Arthur Fils,Clay,32,0.5625,0.05869724754404559,0.04039213394306294
Arthur Fils,Hard,64,0.578125,0.09973780987659299,0.04371012927427819
Arthur Rinderknech,Clay,40,0.475,0.1054938212441257,0.0356058164319766
Arthur Rinderknech,Hard,96,0.5,0.13092890917865446,0.024373212059724727
Arvind Parmar,Grass,27,0.37037037037037035,0.08978714640692587,0.037355213615616285
Aslan Karatsev,Clay,45,0.4888888888888889,0.04309979675391395,0.04794838738123867
Aslan Karatsev,Hard,108,0.48148148148148145,0.0709867256004798,0.05422386146021744
Attila Balazs,Clay,31,0.5483870967741935,0.03652955350413979,0.05141767850705691
Attila Savolt,Clay,51,0.47058823529411764,0.06346186423241998,0.049103896607046664
Attila Savolt,Hard,23,0.2608695652173913,0.06222730590270967,0.05050297499242495
Austin Krajicek,Hard,29,0.3793103448275862,0.09546600823670665,0.05151690357472784
Axel Pretzsch,Hard,29,0.3793103448275862,0.06248014000480288,0.05563379479640202
Bart Wuyts,Clay,54,0.4074074074074074,0.003707210199234717,0.054929906526251356
Ben Shelton,Clay,21,0.47619047619047616,0.08151102212686633,0.056891841559408726
Ben Shelton,Hard,89,0.6067415730337079,0.11777040966413063,0.04222542205685044
Benjamin Becker,Clay,44,0.25,0.077331814498853,0.03442556272517045
Benjamin Becker,Grass,66,0.5454545454545454,0.1272192963478152,0.03676596662241626
Benjamin Becker,Hard,255,0.40784313725490196,0.1000097812140941,0.03955099401557887
Benjamin Bonzi,Hard,67,0.47761194029850745,0.08747615854533569,0.027214025429325852
Benoit Paire,Clay,188,0.4627659574468085,0.08135858921235527,0.06010378928360682
Benoit Paire,Grass,52,0.46153846153846156,0.11354339336433791,0.06087012300701444
Benoit Paire,Hard,301,0.43853820598006643,0.11434857680128929,0.06687159430877879
Bernabe Zapata Miralles,Clay,59,0.4745762711864407,0.02607165998166721,0.027095180714128586
Bernabe Zapata Miralles,Hard,32,0.21875,0.023998174867596717,0.031778771183348896
Bernard Tomic,Clay,58,0.27586206896551724,0.05857974860137929,0.021345532857652033
Bernard Tomic,Grass,67,0.5373134328358209,0.10098740061979064,0.018468600323830818
Bernard Tomic,Hard,225,0.5288888888888889,0.1000354075372368,0.023122005541341698
Bernd Karbacher,Clay,139,0.5323741007194245,0.06157973676573739,0.03578923476602226
Bernd Karbacher,Hard,113,0.4424778761061947,0.07127337803779529,0.03319470706952506
Bjorn Fratangelo,Hard,40,0.35,0.06536176679356763,0.03659616173284983
Bjorn Phau,Clay,59,0.3728813559322034,0.03401616947677383,0.04413893623611045
Bjorn Phau,Hard,140,0.4,0.05698764401649599,0.04921728068155401
Blaz Kavcic,Clay,49,0.3673469387755102,0.032873302819700884,0.048680577904592646
Blaz Kavcic,Hard,57,0.3508771929824561,0.05526042172954448,0.04687411798638598
Bob Bryan,Hard,34,0.2647058823529412,0.09475473385327376,0.026165825731950837
Bobby Reynolds,Hard,75,0.26666666666666666,0.10084803173342656,0.045156184517289435
Bohdan Ulihrach,Carpet,57,0.40350877192982454,0.06186681718680173,0.0532919486542042
Bohdan Ulihrach,Clay,218,0.5091743119266054,0.038006443241336375,0.04548567789203882
Bohdan Ulihrach,Hard,162,0.4876543209876543,0.0430485820224732,0.05120122477087406
Boris Becker,Carpet,143,0.7832167832167832,0.1703074307578621,0.06009537968902822
Boris Becker,Clay,76,0.5921052631578947,0.07736796133984478,0.04171704830503951
Boris Becker,Grass,62,0.7741935483870968,0.11688503148023245,0.06792479375643243
Boris Becker,Hard,137,0.7299270072992701,0.11827722552162763,0.054382948686464073
Boris Pashanski,Clay,48,0.3541666666666667,0.030053369157699825,0.04297234573421633
Borna Coric,Clay,119,0.5462184873949579,0.0644962417415976,0.025569123605138536
Borna Coric,Grass,26,0.46153846153846156,0.0914663804253206,0.023318051709548253
Borna Coric,Hard,258,0.5271317829457365,0.08225958775144146,0.029683751966942618
Borna Gojo,Hard,32,0.5,0.13110302631214307,0.03872782387480127
Botic Van De Zandschulp,Clay,42,0.5238095238095238,0.04408106348949525,0.04291916362816284
Botic Van De Zandschulp,Hard,121,0.5041322314049587,0.08091539778180727,0.0474385795907619
Brad Gilbert,Carpet,38,0.5526315789473685,0.08694522354357741,0.03746580161017619
Brad Gilbert,Grass,21,0.5714285714285714,0.056894684379656155,0.0484688958142689
Brad Gilbert,Hard,148,0.581081081081081,0.06915952785054254,0.045742419303532976
Bradley Klahn,Hard,43,0.2558139534883721,0.09393634176574192,0.0516297773839571
Brandon Nakashima,Clay,23,0.4782608695652174,0.07699392379351433,0.024866777395709753
Brandon Nakashima,Grass,25,0.52,0.09063590585800613,0.019124354903813198
Brandon Nakashima,Hard,127,0.5590551181102362,0.10808379605801087,0.020046210339228827
Brayden Schnur,Hard,20,0.2,0.07831054917878577,0.046599647293787
Brett Steven,Carpet,53,0.5094339622641509,0.048761354539675554,0.03257620129899616
Brett Steven,Clay,26,0.38461538461538464,0.03715622246745334,0.02866042710388413
Brett Steven,Grass,47,0.5957446808510638,0.047265191465692594,0.054629377797779856
Brett Steven,Hard,162,0.5185185185185185,0.04647622096487054,0.039905761564094394
Brian Baker,Hard,41,0.24390243902439024,0.056031265557579694,0.05405233405881523
Brian Dabul,Clay,20,0.35,0.03284708212086669,0.030832302993923283
Brian Macphie,Hard,45,0.4,0.1143211653494799,0.04411995837705113
Brian Vahaly,Hard,48,0.3541666666666667,0.04307897715334367,0.04310899849009456
Bryan Shelton,Clay,67,0.4925373134328358,0.09486576311395285,0.06511935096254018
Bryan Shelton,Grass,36,0.5833333333333334,0.09576708223317003,0.06974121430071498
Bryan Shelton,Hard,91,0.37362637362637363,0.11601046842922762,0.06046230012322731
